seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
24,5,10,2,1423,1426,1051,1289,1207,1169,
7,5,12,2,1770,4058,1384,1597,1035,476,
12,5,14,2,83,4929,1694,990,819,745,
47,5,16,2,4564,840,2753,,717,2597,
29,5,18,2,85,,4335,719,,3209,
13,5,20,2,2805,1616,1979,731,693,466,
53,5,22,2,2002,1775,1776,514,207,1624,
61,5,24,2,684,1480,507,173,956,1417,
46,5,26,2,2506,,1282,1063,1081,1752,
37,5,28,2,2419,,3237,938,1457,2085,
59,5,30,2,2107,1773,876,922,821,1754,
68,5,32,2,2725,445,1093,2043,836,621,1410
16,6,1,2,716,7908,2271,3089,,8194,
11,6,3,2,3360,2107,1942,2500,,9797,
35,6,5,2,968,1667,2377,5726,1621,5066,
64,6,7,2,2754,,6342,1563,2699,6183,
61,6,9,2,2113,2090,1676,1274,95,4814,
27,6,11,2,2681,2464,4337,1794,1342,3798,
15,6,13,2,826,1670,6230,3739,,12566,
48,6,15,2,602,4094,4577,3320,2076,1650,
58,6,17,2,452,6990,2895,2000,237,5653,
51,6,19,2,3209,2675,3329,1754,2479,4042,
22,6,21,2,4065,,6048,3428,1809,4878,
53,6,23,2,403,2788,3988,2945,1729,5805,
5,6,25,2,5204,3528,3510,3324,,7403,
62,6,27,2,3264,2418,3151,3169,562,4766,
49,6,29,2,693,10774,2998,5723,2979,2270,
18,6,31,2,2364,3142,4313,4719,1770,5075,
54,7,2,2,2075,1757,1606,1209,2007,3032,
35,7,4,2,1526,2385,1138,1072,196,2865,
45,7,6,2,1455,3231,1502,1137,973,,2759
13,7,8,2,1012,2160,1349,861,533,3464,
63,7,10,2,1072,1723,1216,710,885,1216,
9,7,12,2,1297,4250,1299,2030,178,1536,3279
52,7,14,2,1174,1461,2821,899,1347,1907,
20,7,16,2,1378,1680,875,1800,5845,932,
43,7,18,2,1301,2918,852,1415,627,2178,
16,7,20,2,1552,2122,2329,1020,691,1173,
57,7,22,2,1121,1115,1283,1163,913,2741,
55,7,24,2,1749,2573,1226,920,,6101,
38,7,26,2,1467,1491,1162,1240,896,1521,
26,7,28,2,2495,1423,1375,1208,193,6351,
8,7,30,2,560,4703,1576,1833,1287,8139,
50,7,32,2,1158,1068,1875,697,1442,971,
45,8,1,2,604,6450,770,,1024,7271,
48,8,3,2,1911,1877,453,223,994,4835,
40,8,5,2,1215,1756,506,487,388,12095,
20,8,7,2,1952,378,711,,506,3562,
11,8,9,2,864,1538,3672,472,580,5473,
62,8,11,2,1514,313,942,647,,4536,
18,8,13,2,1917,1163,4419,210,666,473,4034
5,8,15,2,1115,932,1874,967,993,810,
28,8,17,2,1479,831,2779,,748,15361,
56,8,19,2,1881,,627,586,,5509,
57,8,21,2,117,2444,431,90,740,6899,
58,8,23,2,849,2383,2227,1058,227,19197,
34,8,25,2,947,1043,1898,512,,5267,
6,8,27,2,1522,713,,2017,161,1846,
37,8,29,2,459,2344,1030,,1116,6330,
63,8,31,2,1378,1666,1157,244,869,5228,
22,9,2,2,2326,2069,1903,1637,1507,832,
41,9,4,2,3352,2978,1593,2008,1458,1796,
51,9,6,2,1610,2339,1904,1797,2520,445,
34,9,8,2,1487,1910,1724,1044,1270,514,
19,9,10,2,1358,1589,1498,1182,1337,845,
30,9,12,2,1425,2525,1852,2136,,2601,
62,9,14,2,1544,996,1293,567,1648,530,
40,9,16,2,1667,1538,2325,1854,999,986,
53,9,18,2,1923,1975,1820,1306,1251,1541,
21,9,20,2,1661,2026,1395,3100,1099,912,
38,9,22,2,1131,1508,1924,1131,1687,2236,
56,9,24,2,2493,1803,1741,1485,283,2294,
5,9,26,2,2491,1831,1602,1873,1396,1817,
33,9,28,2,2173,1205,1967,2086,1418,1852,
17,9,30,2,1968,1485,1622,1977,1263,1699,
48,9,32,2,1872,1840,,5274,,3094,
19,10,2,2,1375,529,2018,1704,1765,,1730
58,10,4,2,322,1145,7636,690,865,2353,
27,10,6,2,1029,1018,762,834,1189,854,
63,10,8,2,1878,1110,873,642,3849,1333,
34,10,10,2,1054,940,849,704,648,1467,
38,10,12,2,1396,2037,728,1108,503,,537
67,10,14,2,368,787,4765,1984,817,1585,
15,10,16,2,3750,3176,1171,723,535,658,
31,10,18,2,1161,504,2585,,1214,3329,
33,10,20,2,1519,120,1251,2948,583,2604,
66,10,22,2,244,1627,1187,557,993,4393,
37,10,24,2,490,2340,780,468,,1385,
65,10,26,2,803,3237,3704,1786,938,1064,
41,10,28,2,489,1066,1387,1851,1483,1909,
62,10,30,2,1377,1746,2435,1454,91,4859,
26,10,32,2,681,2376,1863,1245,3280,2090,
57,11,1,2,1792,886,813,1444,423,,
6,11,3,2,,1252,1779,2107,,4425,
17,11,5,2,709,371,5271,937,1046,1630,
33,11,7,2,1480,112,2489,326,754,3454,
59,11,9,2,814,1032,880,681,686,,2375
46,11,11,2,1083,,767,2036,738,,2626
45,11,13,2,2481,777,967,1176,1526,1856,
41,11,15,2,1172,,1342,2349,1201,133,1941
21,11,17,2,2846,3022,1588,1541,1833,1873,
12,11,19,2,1228,86,5603,,2319,3762,
16,11,21,2,3683,244,1670,837,1778,3714,
24,11,23,2,1284,1147,,1394,999,2271,
66,11,25,2,542,306,2410,764,1024,2197,
67,11,27,2,713,1646,679,1029,456,176,
19,11,29,2,1013,686,1835,4519,133,3189,
53,11,31,2,1997,1618,883,553,223,930,1402
25,12,2,2,760,4944,7001,3300,1456,2418,
23,12,4,2,878,3752,1107,1439,1764,6645,
66,12,6,2,473,3929,254,2287,2168,142,
32,12,8,2,1431,3154,1199,1258,1287,2294,
56,12,10,2,1545,2288,2152,1640,1583,657,
51,12,12,2,1705,3753,2287,1673,,3733,
31,12,14,2,2453,2310,2028,897,1221,941,
67,12,16,2,1599,2945,1322,1852,854,851,
22,12,18,2,2232,2861,4147,1568,1772,1773,
42,12,20,2,1202,889,6643,1526,,3099,
52,12,22,2,1861,1896,2204,1488,1147,3847,
43,12,24,2,6137,1899,2714,1247,,4448,
65,12,26,2,2087,2610,2094,1317,2365,1075,
54,12,28,2,3266,2796,1568,988,3999,3344,
41,12,30,2,3926,2592,2577,3014,2030,1708,
53,12,32,2,1843,1936,4159,2022,1863,432,
49,13,1,2,3167,4770,2343,1989,1140,1859,
