seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
30,19,5,1,,322,263,,183,,
7,19,7,1,2471,1166,434,334,1006,,
25,19,9,1,,,,470,740,,
17,19,11,1,,,118,1075,1677,,
32,19,13,1,513,,,,994,,
63,19,15,1,572,1049,1234,1915,942,152,
10,19,17,1,,353,,,157,,
36,19,19,1,,,,1304,,,
49,19,21,1,,,,1236,,,
35,19,23,1,,,,299,484,,
52,19,25,1,2521,773,975,443,,,
58,19,27,1,,,85,1661,1658,,
42,19,29,1,,,,558,830,,
12,19,31,1,,174,117,,181,,
60,20,2,1,,354,,,,,
5,20,4,1,795,406,1451,,384,,
32,20,6,1,,2783,,,,,
23,20,8,1,,,200,,291,,
26,20,10,1,1417,740,,,,,
22,20,12,1,949,2789,3115,,,,
33,20,14,1,358,4041,730,,,,
18,20,16,1,909,415,,,,,
36,20,18,1,1947,4817,7359,,311,,
38,20,20,1,,305,,,,,
35,20,22,1,339,227,806,620,,,
27,20,24,1,812,632,,923,928,,
10,20,26,1,,455,,,,,
15,20,28,1,1211,1114,,,,,
42,20,30,1,218,184,2495,,,,
13,20,32,1,1122,2411,2758,,,,
35,1,1,2,1167,,,,,,
18,1,3,2,,,,,1214,,
47,1,5,2,,,,,,,
13,1,7,2,302,,,146,,,
27,1,9,2,,,624,,1850,,
15,1,11,2,93,156,,,564,,
44,1,13,2,603,803,,431,3306,,
20,1,15,2,426,196,,,199,148,
51,1,17,2,929,413,118,,,,
7,1,19,2,556,,,,,,
58,1,21,2,325,,,,,,
42,1,23,2,,555,,,,,
23,1,25,2,,142,182,2452,2830,,
56,1,27,2,,,,105,882,,
45,1,29,2,,,,,,,
63,1,31,2,942,1599,2855,1667,,,
57,2,2,2,,,,,,,
28,2,4,2,,118,,1258,190,,
54,2,6,2,,188,,,147,,
15,2,8,2,,,,,2050,,
39,2,10,2,165,118,,,,,
66,2,12,2,160,,1056,126,,,
20,2,14,2,,668,469,175,,,
33,2,16,2,,146,,,,,
63,2,18,2,,,,,,,
9,2,20,2,2016,1323,381,337,796,,
62,2,22,2,,,2835,1474,,,
53,2,24,2,1065,562,381,,982,,
59,2,26,2,,843,520,,,,
65,2,28,2,237,996,,1520,,,
11,2,30,2,752,189,86,,483,,
50,2,32,2,561,1062,912,,504,,
25,3,1,2,1538,293,,260,2300,,
18,3,3,2,308,2018,200,,2011,,
7,3,5,2,740,5848,7500,,,,
61,3,7,2,101,756,414,,,,
12,3,9,2,1061,744,,,2393,,
40,3,11,2,1443,2106,827,251,1363,,
66,3,13,2,1789,4379,,161,1907,,
20,3,15,2,2723,137,,931,,,
14,3,17,2,,,,,,,
33,3,19,2,354,1216,1165,,,,
9,3,21,2,286,,1138,1787,667,,
49,3,23,2,569,690,,,1082,,
55,3,25,2,2003,252,257,183,,,
21,3,27,2,,,,306,2117,,
41,3,29,2,,,,,,,
35,3,31,2,,97,1850,,,,
15,4,1,2,590,446,208,,,,
38,4,3,2,,,,,1288,,
60,4,5,2,,,,,,,
46,4,7,2,195,197,,,,,
30,4,9,2,535,813,744,518,1986,,
37,4,11,2,,,,,2793,,
31,4,13,2,405,293,,,1418,,
36,4,15,2,,,,,,,
28,4,17,2,,,,528,883,,
50,4,19,2,,,,,,,
27,4,21,2,,150,355,,1658,,
47,4,23,2,463,517,238,423,,,
49,4,25,2,,,,,1189,,
56,4,27,2,,,343,,725,,
61,4,29,2,,,,,,,
29,4,31,2,,329,,772,,,
35,5,1,2,612,292,91,858,332,530,
55,5,3,2,,101,,195,781,,
42,5,5,2,107,,,,,,
9,5,7,2,467,559,,,508,,
38,5,9,2,,,,650,1015,,
46,5,11,2,,930,778,150,740,,
28,5,13,2,837,232,,97,1214,,
64,5,15,2,176,,,,,,
52,5,17,2,713,,414,,,,
20,5,19,2,562,,145,244,,,
21,5,21,2,540,,,,,,
40,5,23,2,,,,,,,
49,5,25,2,,,,,,,
