seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
22,9,28,2,1033,,237,,2951,,
5,9,30,2,,,,,239,,
28,9,32,2,,,,,983,,
45,10,2,2,,,,,,,
33,10,4,2,889,1587,,,,,
50,10,6,2,,,192,,,,
47,10,8,2,,,,,,,
8,10,10,2,1648,,,,,,
39,10,12,2,,,,,1650,,
17,10,14,2,1231,601,1771,1047,668,,
57,10,16,2,,,,,,,
32,10,18,2,,,,,,,
12,10,20,2,1507,,,,,,
25,10,22,2,,,,,,,
26,10,24,2,,,,423,1181,,
54,10,26,2,219,995,317,,318,,
60,10,28,2,,,188,,,,
52,10,30,2,,,,,,,
23,10,32,2,,,,,,,
22,11,2,2,423,777,801,372,,,
61,11,4,2,123,,,405,506,,
64,11,6,2,,,451,,477,,
6,11,8,2,91,343,,,159,,
44,11,10,2,,459,406,257,,,
26,11,12,2,321,158,,,193,,
52,11,14,2,461,,850,,,,
33,11,16,2,,223,808,1192,,,
12,11,18,2,124,,1179,,,,
67,11,20,2,427,138,,,510,,
13,11,22,2,,1117,,,121,,
25,11,24,2,497,436,,460,1294,,
55,11,26,2,,,238,,187,,
48,11,28,2,608,151,585,276,,,
31,11,30,2,1053,302,,319,,,
35,11,32,2,,909,691,627,,,
46,12,2,2,493,,,,,,
34,12,4,2,,220,,,998,,
61,12,6,2,816,153,,2123,692,,
38,12,8,2,1250,,,,100,,
12,12,10,2,332,,285,,197,,
11,12,12,2,,,,,2839,,
41,12,14,2,475,819,,181,538,,
33,12,16,2,,977,,,,,
42,12,18,2,,286,,,,,
22,12,20,2,913,,,,,,
8,12,22,2,912,1257,1167,,,,
21,12,24,2,,,,,1927,,
19,12,26,2,1625,1019,,,541,,
10,12,28,2,731,863,151,,,,
63,12,30,2,485,,,,,,
45,12,32,2,494,1164,,,,,
44,13,2,2,,2033,2906,1959,1796,,
52,13,4,2,,,,872,,,
14,13,6,2,1142,,,,,,
12,13,8,2,1889,545,120,,,,
56,13,10,2,,,,,,,
8,13,12,2,473,1013,1295,,659,,
15,13,14,2,526,500,,902,,,
28,13,16,2,168,,173,,,,
47,13,18,2,,,,,142,,
66,13,20,2,,,,,,,
32,13,22,2,,,,,419,,
49,13,24,2,183,,,108,949,,
23,13,26,2,,,,,,,
33,13,28,2,,,,,,,
37,13,30,2,,196,85,,,,
17,13,32,2,,92,,,,,
8,14,2,2,964,1123,1074,,,,
13,14,4,2,1734,232,538,585,,,
18,14,6,2,410,114,203,135,,,
39,14,8,2,130,257,,,273,,
15,14,10,2,473,1227,582,,,,
46,14,12,2,760,189,,412,192,,
65,14,14,2,194,,249,,590,,
43,14,16,2,,,520,,337,,
41,14,18,2,,,,,,,
53,14,20,2,,415,,,,,
66,14,22,2,166,1220,,,584,,
55,14,24,2,,,,275,563,,
28,14,26,2,,183,754,694,,,
10,14,28,2,396,1184,367,154,1282,,
20,14,30,2,,454,,,,,
21,14,32,2,823,2047,641,522,,,
23,15,2,2,,,,,,,
45,15,4,2,,567,109,,,,
10,15,6,2,,,,,,1255,
55,15,8,2,,,,,,,
57,15,10,2,121,246,,,,,
26,15,12,2,198,,,971,1348,,
53,15,14,2,,,,,,,
18,15,16,2,,,,,,,
37,15,18,2,,,778,,,,
49,15,20,2,,,,,,,
54,15,22,2,,337,,,,,
7,15,24,2,,,,,1124,,
36,15,26,2,417,,,,,,
20,15,28,2,,,1454,,1197,,
33,15,30,2,,,,,,,
25,15,32,2,,,,,,,
19,16,2,2,,,84,,,,
24,16,4,2,,750,202,,,,
31,16,6,2,270,802,,1287,,,
47,16,8,2,317,,,146,183,,
37,16,10,2,,276,,182,,,
36,16,12,2,,489,264,212,2789,,
14,16,14,2,,,,,420,,
7,16,16,2,273,,,203,,,
46,16,18,2,,516,,,,,
23,16,20,2,,,108,,,,
30,16,22,2,185,117,,,,,
40,16,24,2,,426,,,1059,,
53,16,26,2,129,,,,,,
44,16,28,2,118,183,,,,,
12,16,30,2,,,,,91,,
35,16,32,2,1678,,,,,,
10,17,2,2,732,,,,,,
26,17,4,2,217,,,,166,,
27,17,6,2,,230,765,202,,,
60,17,8,2,,,,,350,1887,
17,17,10,2,,,,,571,,
42,17,12,2,,,,,,,
20,17,14,2,,,354,,,,
15,17,16,2,178,,148,,,,
37,17,18,2,,,,,,,
23,17,20,2,565,,,,169,,
13,17,22,2,,457,1823,,,,
25,17,24,2,,,,,659,,
29,17,26,2,,,,,,,
